Subject;Area;Type;Sensitivity;Bias;Sensitivity_tot;Bias_tot;Type.N
1;cedx;Unrelated;0,8555556;0,6153846;0,7430556;0,135135135;1
2;cedx;Unrelated;0,8428571;0,3636364;0,7157692;0,01488498;1
3;cedx;Unrelated;0,8671875;1;0,708629;0,176307777;1
4;cedx;Unrelated;0,7527778;0,5505618;0,5976128;0,116384425;1
5;cedx;Unrelated;0,890625;1;0,8046569;0,317440402;1
6;cedx;Unrelated;0,828125;1;0,6516667;0,196172249;1
7;cedx;Unrelated;0,7197802;0,2352941;0,6696429;0,135135135;1
8;cedx;Unrelated;0,825;0,6190476;0,6895833;0,140939597;1
9;cedx;Unrelated;0,90625;1;0,8558333;0,445086705;1
10;cedx;Unrelated;0,9453125;1;0,9264342;0,565015203;1
11;cedx;Unrelated;0,9032609;0,5505618;0,8310133;0,073762838;1
12;cedx;Unrelated;0,890625;1;0,758871;0,170568562;1
13;cedx;Unrelated;0,831297;0,3760446;0,7126949;0,047409041;1
14;cedx;Unrelated;0,875;1;0,7609848;0,267828843;1
15;cedx;Unrelated;0,890625;1;0,8484234;0,560178306;1
16;cedx;Unrelated;0,8671875;1;0,76375;0,322751323;1
17;cedx;Unrelated;0,9216667;0,4893617;0,836569;-0,076906847;1
18;cedx;Unrelated;0,90625;1;0,775;0,111111111;1
19;cedx;Unrelated;0,8653509;0,6091205;0,7441243;0,094955227;1
20;cedx;Unrelated;0,9765625;1;0,9310472;-0,200220629;1
21;cedx;Unrelated;0,9296875;1;0,8539032;0,16672303;1
22;cedx;Unrelated;0,8653509;0,6091205;0,8450475;0,456539686;1
23;cedx;Unrelated;0,831297;0,3760446;0,6623081;0,002516438;1
24;cedx;Unrelated;0,8142857;0,6153846;0,7295455;0,260504202;1
25;cedx;Unrelated;0,8515625;1;0,6700062;0,160823386;1
26;cedx;Unrelated;0,7795455;0,5876289;0,6738636;0,219512195;1
27;cedx;Unrelated;0,8194444;0,3846154;0,7430556;0,135135135;1
28;cedx;Unrelated;0,921875;1;0,8535428;0,255134642;1
29;cedx;Unrelated;0,8455882;0,6190476;0,742908;0,176307777;1
30;cedx;Unrelated;0,9140625;1;0,7901786;0,092198582;1
31;cedx;Unrelated;0,9125;0,5238095;0,8221264;-0,030694669;1
32;cedx;Unrelated;0,2465659;-0,3760446;0,3086238;-0,202414565;1
1;cz;Unrelated;0,8671875;1;0,76375;0,32275132;1
2;cz;Unrelated;0,8428571;0,36363636;0,7460714;0,05485232;1
3;cz;Unrelated;0,8032051;0,60912052;0,7123834;0,2511397;1
4;cz;Unrelated;0,890625;1;0,8194444;0,38461538;1
5;cz;Unrelated;0,921875;1;0,8768308;0,40953357;1
6;cz;Unrelated;0,8515625;1;0,8129808;0,67095116;1
7;cz;Unrelated;0,8845238;0,58762887;0,8541667;0,34693878;1
8;cz;Unrelated;0,8671875;1;0,6895833;0,1409396;1
9;cz;Unrelated;0,831297;0,37604457;0,7126949;0,04740904;1
10;cz;Unrelated;0,953125;1;0,907967;0,1641791;1
11;cz;Unrelated;0,8653509;0,60912052;0,7441243;0,09495523;1
12;cz;Unrelated;0,7675339;0,24087591;0,7089503;0,11072393;1
13;cz;Unrelated;0,7083333;0,14285714;0,6326923;0,04712042;1
14;cz;Unrelated;0,9296875;1;0,8310133;0,07376284;1
15;cz;Unrelated;0,875;0,6;0,8558333;0,44508671;1
16;cz;Unrelated;0,921875;1;0,8882678;0,51181968;1
17;cz;Unrelated;0,8828125;1;0,759398;0,21764874;1
18;cz;Unrelated;0,9609375;1;0,8919126;-0,09650649;1
19;cz;Unrelated;0,96875;1;0,9037946;-0,18793503;1
20;cz;Unrelated;0,9387315;-0,12562814;0,9310472;-0,20022063;1
21;cz;Unrelated;0,890625;1;0,7430556;0,13513514;1
22;cz;Unrelated;0,9216667;0,4893617;0,8470833;-0,04632153;1
23;cz;Unrelated;0,9398148;0,38461538;0,8458333;-0,24924925;1
24;cz;Unrelated;0,8652597;0,3253012;0,8173754;0,10397431;1
25;cz;Unrelated;0,875;1;0,7946429;0,39130435;1
26;cz;Unrelated;0,9032609;0,5505618;0,8978995;0,48899439;1
27;cz;Unrelated;0,875;0,6;0,8428571;0,36363636;1
28;cz;Unrelated;0,9453125;1;0,8975;0,2195122;1
29;cz;Unrelated;0,8761646;0,29780564;0,7436821;-0,08560827;1
30;cz;Unrelated;0,8652597;0,3253012;0,7922414;0,0373444;1
31;cz;Unrelated;0,90625;1;0,8558333;0,44508671;1
32;cz;Unrelated;0,4005682;-0,09219858;0,3261364;-0,2195122;1
1;cedx;Weakly_related;0,7820513;0,23529412;;;2
2;cedx;Weakly_related;0,775;0,11111111;;;2
3;cedx;Weakly_related;0,6895833;0,1409396;;;2
4;cedx;Weakly_related;0,5381944;0,03759398;;;2
5;cedx;Weakly_related;0,8194444;0,38461538;;;2
6;cedx;Weakly_related;0,6384615;0,17021277;;;2
7;cedx;Weakly_related;0,8142857;0,61538462;;;2
8;cedx;Weakly_related;0,7815476;0,38964578;;;2
9;cedx;Weakly_related;0,90625;1;;;2
10;cedx;Weakly_related;0,9453125;1;;;2
11;cedx;Weakly_related;0,8761646;0,29780564;;;2
12;cedx;Weakly_related;0,7820513;0,23529412;;;2
13;cedx;Weakly_related;0,7206938;0,05781585;;;2
14;cedx;Weakly_related;0,8354167;0,62025316;;;2
15;cedx;Weakly_related;0,8194444;0,38461538;;;2
16;cedx;Weakly_related;0,7815476;0,38964578;;;2
17;cedx;Weakly_related;0,8726923;0,05740181;;;2
18;cedx;Weakly_related;0,8096154;0,21212121;;;2
19;cedx;Weakly_related;0,6796053;0,01437372;;;2
20;cedx;Weakly_related;0,9194297;-0,28395062;;;2
21;cedx;Weakly_related;0,8761646;0,29780564;;;2
22;cedx;Weakly_related;0,8653509;0,60912052;;;2
23;cedx;Weakly_related;0,6352339;-0,01002004;;;2
24;cedx;Weakly_related;0,7197802;0,23529412;;;2
25;cedx;Weakly_related;0,6482372;0,12528474;;;2
26;cedx;Weakly_related;0,6617133;0,19379845;;;2
27;cedx;Weakly_related;0,7020202;0,06779661;;;2
28;cedx;Weakly_related;0,8356643;0,17021277;;;2
29;cedx;Weakly_related;0,7261029;0,1409396;;;2
30;cedx;Weakly_related;0,8228022;0,19379845;;;2
31;cedx;Weakly_related;0,8605769;0,10344828;;;2
32;cedx;Weakly_related;0,4082168;-0,05781585;;;2
1;cz;Weakly_related;0,7365385;0,24087591;;;2
2;cz;Weakly_related;0,775;0,11111111;;;2
3;cz;Weakly_related;0,8032051;0,60912052;;;2
4;cz;Weakly_related;0,8194444;0,38461538;;;2
5;cz;Weakly_related;0,8939394;0,57142857;;;2
6;cz;Weakly_related;0,8515625;1;;;2
7;cz;Weakly_related;0,8845238;0,58762887;;;2
8;cz;Weakly_related;0,6895833;0,1409396;;;2
9;cz;Weakly_related;0,7960526;0,22580645;;;2
10;cz;Weakly_related;0,907967;0,1641791;;;2
11;cz;Weakly_related;0,7593202;0,12528474;;;2
12;cz;Weakly_related;0,7675339;0,24087591;;;2
13;cz;Weakly_related;0,6619318;0,07563025;;;2
14;cz;Weakly_related;0,8482441;0,14049587;;;2
15;cz;Weakly_related;0,90625;1;;;2
16;cz;Weakly_related;0,921875;1;;;2
17;cz;Weakly_related;0,7675339;0,24087591;;;2
18;cz;Weakly_related;0,8963675;-0,07216495;;;2
19;cz;Weakly_related;0,9285714;0;;;2
20;cz;Weakly_related;0,9577586;0,18367347;;;2
21;cz;Weakly_related;0,7020202;0,06779661;;;2
22;cz;Weakly_related;0,8726923;0,05740181;;;2
23;cz;Weakly_related;0,8738426;-0,17431193;;;2
24;cz;Weakly_related;0,8652597;0,3253012;;;2
25;cz;Weakly_related;0,875;1;;;2
26;cz;Weakly_related;0,9032609;0,5505618;;;2
27;cz;Weakly_related;0,875;0,6;;;2
28;cz;Weakly_related;0,8975;0,2195122;;;2
29;cz;Weakly_related;0,685462;-0,10583153;;;2
30;cz;Weakly_related;0,8356643;0,17021277;;;2
31;cz;Weakly_related;0,8096154;0,21212121;;;2
32;cz;Weakly_related;0,3382867;-0,19379845;;;2
1;cedx;Critical_lure;0,3303571;-0,135135135;;;3
2;cedx;Critical_lure;0,15625;-1;;;3
3;cedx;Critical_lure;0,3639706;-0,03030303;;;3
4;cedx;Critical_lure;0,4048913;0,073825503;;;3
5;cedx;Critical_lure;0,5590278;-0,007874016;;;3
6;cedx;Critical_lure;0,3380682;0,075630252;;;3
7;cedx;Critical_lure;0,2569444;-0,135135135;;;3
8;cedx;Critical_lure;0,1927521;-0,389645777;;;3
9;cedx;Critical_lure;0,6125;-0,032258065;;;3
10;cedx;Critical_lure;0,8470833;-0,046321526;;;3
11;cedx;Critical_lure;0,4618056;-0,037593985;;;3
12;cedx;Critical_lure;0,3303571;-0,135135135;;;3
13;cedx;Critical_lure;0,3517628;-0,125284738;;;3
14;cedx;Critical_lure;0,2916667;-0,142857143;;;3
15;cedx;Critical_lure;0,8194444;0,384615385;;;3
16;cedx;Critical_lure;0,4696691;0,001956947;;;3
17;cedx;Critical_lure;0,3660714;-0,219512195;;;3
18;cedx;Critical_lure;0,2619048;-0,363636364;;;3
19;cedx;Critical_lure;0,5863487;-0,017892644;;;3
20;cedx;Critical_lure;0,8590517;-0,467889908;;;3
21;cedx;Critical_lure;0,5951087;-0,073825503;;;3
22;cedx;Critical_lure;0,7593202;0,125284738;;;3
23;cedx;Critical_lure;0,2465659;-0,376044568;;;3
24;cedx;Critical_lure;0,5607143;0,024390244;;;3
25;cedx;Critical_lure;0,3203947;-0,014373717;;;3
26;cedx;Critical_lure;0,4672619;0,01910828;;;3
27;cedx;Critical_lure;0,6583333;0,024390244;;;3
28;cedx;Critical_lure;0,7386364;-0,043478261;;;3
29;cedx;Critical_lure;0,5303309;-0,001956947;;;3
30;cedx;Critical_lure;0,2784091;-0,346938776;;;3
31;cedx;Critical_lure;0,3392857;-0,263157895;;;3
32;cedx;Critical_lure;0,2465659;-0,376044568;;;3
1;cz;Critical_lure;0,5875;0,03030303;;;3
2;cz;Critical_lure;0,375;-0,11111111;;;3
3;cz;Critical_lure;0,3203947;-0,01437372;;;3
4;cz;Critical_lure;0,6583333;0,02439024;;;3
5;cz;Critical_lure;0,7386364;-0,04347826;;;3
6;cz;Critical_lure;0,6482372;0,12528474;;;3
7;cz;Critical_lure;0,7196429;-0,01910828;;;3
8;cz;Critical_lure;0,2738971;-0,1409396;;;3
9;cz;Critical_lure;0,1484375;-1;;;3
10;cz;Critical_lure;0,8096154;-0,21212121;;;3
11;cz;Critical_lure;0,3517628;-0,12528474;;;3
12;cz;Critical_lure;0,4125;-0,03030303;;;3
13;cz;Critical_lure;0,3875;-0,03225806;;;3
14;cz;Critical_lure;0,4618056;-0,03759398;;;3
15;cz;Critical_lure;0,7;0;;;3
16;cz;Critical_lure;0,7386364;-0,04347826;;;3
17;cz;Critical_lure;0,4125;-0,03030303;;;3
18;cz;Critical_lure;0,7106481;-0,28;;;3
19;cz;Critical_lure;0,6607143;-0,26315789;;;3
20;cz;Critical_lure;0,8590517;-0,46788991;;;3
21;cz;Critical_lure;0,4392857;-0,02439024;;;3
22;cz;Critical_lure;0,54125;-0,04632153;;;3
23;cz;Critical_lure;0,2109375;-1;;;3
24;cz;Critical_lure;0,5643939;-0,04347826;;;3
25;cz;Critical_lure;0,3875;-0,03225806;;;3
26;cz;Critical_lure;0,8761646;0,29780564;;;3
27;cz;Critical_lure;0,7;0;;;3
28;cz;Critical_lure;0,7925;-0,15662651;;;3
29;cz;Critical_lure;0,4618056;-0,03759398;;;3
30;cz;Critical_lure;0,4291667;-0,06796117;;;3
31;cz;Critical_lure;0,8428571;0,36363636;;;3
32;cz;Critical_lure;0,1640625;-1;;;3